gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
millennium g400,2024.0,480.0,2.656,1250.0,50.0,10.0,250.0,154.0,600000.0,164113.78555798688,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
millennium g400 max,2024.0,480.0,3.2,1250.0,50.0,10.0,250.0,154.0,600000.0,142857.14285714284,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
256 ddr,2024.0,480.0,4.8,1250.0,50.0,17.0,220.0,139.0,600000.0,103448.27586206897,11764.70588235294,0.12142857142857143,2.8903717578961645,3.3314383390085567,-0.07630918228861328
256 sdr,2024.0,480.0,1.144,1250.0,50.0,17.0,220.0,139.0,600000.0,279850.7462686567,11764.70588235294,0.12142857142857143,2.8903717578961645,3.3314383390085567,-0.07630918228861328
quadro,2024.0,480.0,2.656,1250.0,50.0,17.0,220.0,139.0,600000.0,164113.78555798688,11764.70588235294,0.12142857142857143,2.8903717578961645,3.3314383390085567,-0.07630918228861328
riva tnt2,2024.0,480.0,2.4,1250.0,50.0,15.0,250.0,63.0,600000.0,176470.58823529413,11764.70588235294,0.234375,2.772588722239781,3.3314383390085567,-0.07630918228861328
riva tnt2 m64,2024.0,480.0,1.144,1250.0,50.0,15.0,250.0,63.0,600000.0,279850.7462686567,11764.70588235294,0.234375,2.772588722239781,3.3314383390085567,-0.07630918228861328
riva tnt2 m64 vanta,2024.0,480.0,1.064,1250.0,50.0,15.0,250.0,63.0,600000.0,290697.67441860464,11764.70588235294,0.234375,2.772588722239781,3.3314383390085567,-0.07630918228861328
riva tnt2 m64 vanta 16,2024.0,480.0,1.064,1250.0,50.0,15.0,250.0,63.0,600000.0,290697.67441860464,11764.70588235294,0.234375,2.772588722239781,3.3314383390085567,-0.07630918228861328
riva tnt2 pro,2024.0,480.0,2.672,1250.0,50.0,15.0,250.0,63.0,600000.0,163398.69281045752,11764.70588235294,0.234375,2.772588722239781,3.3314383390085567,-0.07630918228861328
riva tnt2 ultra,2024.0,480.0,2.928,1250.0,50.0,15.0,250.0,63.0,600000.0,152749.49083503056,11764.70588235294,0.234375,2.772588722239781,3.3314383390085567,-0.07630918228861328
300,2024.0,480.0,2.656,1250.0,50.0,29.0,250.0,154.0,600000.0,164113.78555798688,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
voodoo4 4500 agp,2024.0,480.0,2.656,1250.0,15.0,14.0,250.0,112.0,600000.0,164113.78555798688,37500.0,0.12389380530973451,2.70805020110221,3.3314383390085567,-0.07630918228861328
voodoo4 4500 pci,2024.0,480.0,2.656,1250.0,15.0,14.0,250.0,112.0,600000.0,164113.78555798688,37500.0,0.12389380530973451,2.70805020110221,3.3314383390085567,-0.07630918228861328
voodoo5 5500 agp,2024.0,480.0,2.656,1250.0,30.0,14.0,250.0,112.0,600000.0,164113.78555798688,19354.83870967742,0.12389380530973451,2.70805020110221,3.3314383390085567,-0.07630918228861328
voodoo5 5500 pci,2024.0,480.0,2.656,1250.0,30.0,14.0,250.0,112.0,600000.0,164113.78555798688,19354.83870967742,0.12389380530973451,2.70805020110221,3.3314383390085567,-0.07630918228861328
all in wonder 7200,2024.0,480.0,5.312,1250.0,50.0,30.0,180.0,111.0,600000.0,95057.03422053231,11764.70588235294,0.26785714285714285,3.4339872044851463,3.3314383390085567,-0.07630918228861328
fire gl2,2024.0,480.0,7.68,1250.0,50.0,29.0,180.0,156.0,600000.0,69124.42396313364,11764.70588235294,0.18471337579617833,3.4011973816621555,3.3314383390085567,-0.07630918228861328
