gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size
hd 7490m,,160.0,30.4,1250.0,9.0,370.0,40.0,67.0
hd 7500g igp,,256.0,40.0,424.0,17.0,1.0,32.0,246.0
hd 7510m,,400.0,12.8,1250.0,11.0,716.0,40.0,118.0
hd 7520g igp,,192.0,40.0,686.0,35.0,1.0,32.0,246.0
hd 7530m,,400.0,14.4,1250.0,11.0,716.0,40.0,118.0
hd 7540d igp,,192.0,40.0,1250.0,65.0,1.0,32.0,246.0
hd 7550m,,480.0,28.8,1250.0,14.0,716.0,40.0,118.0
hd 7550m,,480.0,14.4,550.0,14.0,716.0,40.0,118.0
hd 7560d igp,,256.0,40.0,1250.0,65.0,1.0,32.0,246.0
hd 7560g igp,,256.0,40.0,760.0,35.0,1.0,32.0,246.0
hd 7570,,480.0,25.6,1250.0,60.0,716.0,40.0,118.0
hd 7570m,,480.0,25.6,1250.0,13.0,716.0,40.0,118.0
hd 7590m,,480.0,25.6,1250.0,18.0,716.0,40.0,118.0
hd 7600g igp,,384.0,40.0,424.0,19.0,1.0,32.0,246.0
hd 7610m,,400.0,25.6,1250.0,20.0,716.0,40.0,118.0
hd 7620g igp,,384.0,40.0,497.0,25.0,1.0,32.0,246.0
hd 7630m,,480.0,25.6,1250.0,20.0,716.0,40.0,118.0
hd 7640g igp,,256.0,40.0,655.0,35.0,1.0,32.0,246.0
hd 7650a,,480.0,28.8,1250.0,33.0,716.0,40.0,118.0
hd 7650m,,480.0,25.6,1250.0,20.0,716.0,40.0,118.0
hd 7650m rebrand,,480.0,25.6,1250.0,20.0,716.0,40.0,118.0
hd 7660d igp,,384.0,40.0,1250.0,100.0,1.0,32.0,246.0
hd 7660g igp,,384.0,40.0,1250.0,35.0,1.0,32.0,246.0
hd 7670 oem,,480.0,64.0,1250.0,66.0,716.0,40.0,118.0
hd 7670a,,480.0,64.0,1250.0,45.0,716.0,40.0,118.0
hd 7670m,,480.0,28.8,1250.0,20.0,716.0,40.0,118.0
hd 7670m rebrand,,480.0,28.8,1250.0,20.0,716.0,40.0,118.0
